Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_SMA,Exit_SMA,Entry_HMA,Exit_HMA
9.69061013,156,163,9794.0,9283.7,,,-4945.118349338995,-0.0521033285685113,2020-06-05,2020-06-12,7 days,,8.321153076923072e-05,8.336859230769226e-05,9.743070467171942e-05,9.782685954442619e-05
9.74142526,195,199,9243.1,9155.8,,,-850.4264251980164,-0.009444883210178556,2020-07-14,2020-07-18,4 days,,8.28013769230769e-05,8.310244615384613e-05,9.140665563801572e-05,9.132627863756918e-05
9.36172649,204,215,9513.6,11066.9,,,14541.56975691699,0.1632715270770264,2020-07-23,2020-08-03,11 days,,8.44852615384615e-05,8.84920692307692e-05,9.173783384525842e-05,0.00010474462283807785
9.75001085,266,267,10531.5,10238.1,,,-2860.6531833899962,-0.027859279304942253,2020-09-23,2020-09-24,1 days,,0.00010204388461538456,0.00010212555384615381,0.00010347250747011316,0.00010337083829623148
9.32973658,272,331,10694.3,17160.9,,,60331.67456822803,0.6046772579785498,2020-09-29,2020-11-27,59 days,,0.00010262416923076921,0.00012353758461538462,0.00010382733186628576,0.00018730429609187528
6.8696920200000005,352,376,22823.3,38195.3,,,105600.90573144003,0.6735222338575055,2020-12-18,2021-01-11,24 days,,0.00013720583846153845,0.0001712981307692308,0.00020104975258022862,0.0003569634234831354
5.53096459,405,419,46396.4,54114.1,,,42686.325416242966,0.16634264727435744,2021-02-09,2021-02-23,14 days,,0.00022758858461538456,0.00027019889999999985,0.0003662388854454459,0.0005214711618738453
5.13098498,436,440,57806.2,55619.5,,,-11219.92485576598,-0.03782812224294274,2021-03-12,2021-03-16,4 days,,0.00031930011538461523,0.00033265853846153827,0.0005410584435202407,0.0005601530217764423
4.86052996,457,463,58718.2,55948.0,,,-13464.640095192,-0.0471778767060298,2021-04-02,2021-04-08,6 days,,0.00038469788461538434,0.0004030205538461536,0.0005844555819126667,0.0005873076782957142
4.5452217,468,473,59863.600000000006,60043.200000000004,,,816.3218173199913,0.003000153682705342,2021-04-13,2021-04-18,5 days,,0.0004188260538461535,0.00043492262307692265,0.0005914197650759308,0.0006082552637866775
4.67545461,495,498,58251.2,49398.2,,,-41391.799662329984,-0.15197970170571584,2021-05-10,2021-05-13,3 days,,0.0004888991692307688,0.0004936124307692303,0.0005495310124209765,0.0005471041227066559
4.51890931,644,660,51470.0,62200.8,,,48491.51202374804,0.20848649698853716,2021-10-06,2021-10-22,16 days,,0.0004083675307692301,0.000435827353846153,0.0004435132771747733,0.0006103697024891383
4.2839180500000005,680,686,64922.8,60074.200000000004,,,-20771.005057230017,-0.07468254603929592,2021-11-11,2021-11-17,6 days,,0.0004782241538461529,0.0004917734307692298,0.000657683056991642,0.0006553854503546931
10.382737500000001,1147,1151,24839.5,23191.3,,,-17112.82794750001,-0.06635399263270203,2023-02-21,2023-02-25,4 days,,0.00019264038461538387,0.00019396911538461462,0.00024003466534038213,0.00024129535187494486
8.80504617,1172,1205,27391.9,28813.7,,,12519.01464450598,0.051905855380605104,2023-03-18,2023-04-20,33 days,,0.00019886865384615308,0.0002289186076923069,0.00022883732324596446,0.00030519232980302606
9.418659100000001,1248,1252,26819.0,25745.6,,,-10109.988677940035,-0.04002386367873534,2023-06-02,2023-06-06,4 days,,0.0002604368769230762,0.000261621007692307,0.00026573921609793986,0.0002661807678286817
8.1141564,1269,1295,29890.200000000004,29866.7,,,-190.68267540001122,-0.000786210865099668,2023-06-23,2023-07-19,26 days,,0.0002670949615384608,0.0002818555076923071,0.00026679566368090777,0.00031458066848489365
8.54086199,1387,1421,28321.8,35797.5,,,63848.921978643004,0.263955680783001,2023-10-19,2023-11-22,34 days,,0.0002808166923076917,0.00029583859999999943,0.0002781645620265819,0.0003841900066969148
6.87327261,1468,1473,43934.2,42836.7,,,-7543.416689474988,-0.024980539078895192,2024-01-08,2024-01-13,5 days,,0.0003448497692307688,0.000352198715384615,0.0004427554688945542,0.00045025685116624876
6.91020602,1496,1526,42581.4,63794.700000000004,,,146588.27336406603,0.49818230495004867,2024-02-05,2024-03-06,30 days,,0.00037982310769230716,0.00043711763076923014,0.00041592989498023114,0.0006139175582137469
6.4543140900000004,1599,1611,67036.6,67631.3,,,3838.3805893229755,0.008871273304433602,2024-05-18,2024-05-30,12 days,,0.0005831493615384607,0.0006069993461538455,0.0006164199509849721,0.0006818159576528376
6.9310533,1700,1701,62832.2,59425.600000000006,,,-23611.32617177994,-0.05421742355034509,2024-08-27,2024-08-28,1 days,,0.0006366068307692306,0.0006361495153846153,0.0005907729248915144,0.0005924397428482925
6.09717832,1751,1769,67618.1,68770.3,,,7025.168860303952,0.017039816262213625,2024-10-17,2024-11-04,18 days,,0.0006183774692307691,0.0006237230846153844,0.0006433274106624724,0.000704980013914374
4.00010268,1845,1859,104536.8,100647.1,,,-15559.199394395991,-0.03720890633728979,2025-01-19,2025-02-02,14 days,,0.0008247705538461534,0.000869307192307692,0.0009659261381533383,0.0010383818600311274
